Name;Description;FLT1;FLT2;FLT3;FLT4;AEM1;AEM2;AEM3;AEM4;flight1;flight2;flight3;flight4;control1;control2;control3;control4;flightMean;aemMean;FvsAEM
1700017D01RIK;RIKEN cDNA 1700017D01 gene;2,616902351;2,685540738;2,578677334;2,670942034;2,838627151;2,829293216;2,712396914;2,744235352;0,059053398;0,034373433;0,072797778;0,039622617;-0,076046345;-0,072508104;-0,028195895;-0,040264981;2,6380157;2,781138;-0,1431223
1700018A04RIK;RIKEN cDNA 1700018A04 gene;4,395456148;4,30109049;4,346783773;4,170239519;4,240743858;4,044378935;4,122083338;4,064284994;-0,067409429;-0,044493311;-0,055589643;-0,012716959;0,014557943;0,060188205;0,042131659;0,055562539;4,3033924;4,1178727;0,1855197
1700029J07RIK;RIKEN cDNA 1700029J07 gene;4,861642323;4,701929244;4,94249512;4,51828172;5,017898818;5,096054849;5,043867765;5,102097641;0,040145725;0,071678542;0,024182621;0,107936838;-0,055047669;-0,071480511;-0,060507818;-0,072751049;4,7560873;5,0649796;-0,3088923
1700041G16RIK;RIKEN cDNA 1700041G16 gene;4,85068755;4,766869605;4,929867642;4,939056556;4,792001568;4,60688944;4,582275163;4,710064007;-0,038067017;-0,020129633;-0,055011881;-0,056978346;0,016343317;0,054341381;0,059393967;0,033162684;4,87162;4,6728077;0,1988123
1700049L16RIK | GM6419;hematological and neurological expressed 1-like pseudogene | predicted gene 6419;4,191054664;4,066966384;4,180469346;4,176786256;4,57857194;4,415456494;4,38426209;4,459468301;0,060183599;0,088009578;0,062557287;0,063383195;-0,102256006;-0,062987216;-0,055477403;-0,07358272;4,153819;4,4594398;-0,3056208
1700066J24RIK;RIKEN cDNA 1700066J24 gene;4,878686344;4,602994848;4,771806008;4,723505024;4,481856918;4,257908655;4,384770963;4,439135859;-0,111085657;-0,048298905;-0,086744431;-0,07574423;0,055307282;0,102511442;0,075771209;0,064312092;4,7442484;4,3909183;0,3533301
1700074P13RIK;RIKEN cDNA 1700074P13 gene;3,467771025;3,614597297;3,688206773;3,426532911;3,20614279;3,478742255;3,159111606;3,33743399;-0,052320128;-0,096875619;-0,119212945;-0,039806125;0,096677163;0,019872935;0,109928083;0,05968619;3,5492768;3,2953575;0,2539193
1700123I01RIK;RIKEN cDNA 1700123I01 gene;5,024848823;4,838624132;4,824978569;4,656427307;4,403289076;4,48279865;4,612613952;4,660255754;-0,106858527;-0,065837514;-0,062831711;-0,025703748;0,089518451;0,073078013;0,046235706;0,036384665;4,83622;4,539739;0,296481
2010107G12RIK;RIKEN cDNA 2010107G12 gene;5,648526915;5,611395889;5,590279275;5,559997147;5,296970092;5,340929212;5,486613107;5,495490712;-0,045055723;-0,038185969;-0,034279103;-0,02867649;0,054543004;0,046696734;0,020693594;0,019109029;5,60255;5,4050007;0,1975493
2010204K13RIK;RIKEN cDNA 2010204K13 gene;4,747705917;4,758334008;4,64409217;4,533348799;4,574321712;4,492267017;4,420156074;4,469446013;-0,057619771;-0,059987331;-0,034538319;-0,00986864;0,02067051;0,038237833;0,053676268;0,043123646;4,670871;4,489048;0,181823
2200002J24RIK;RIKEN cDNA 2200002J24 gene;4,590213155;4,37947516;4,579655138;4,404171936;4,109555412;4,433418452;4,171673985;4,066875154;-0,094111234;-0,043880275;-0,091594653;-0,049766934;0,084400878;0,012244967;0,070561009;0,093909938;4,4883785;4,1953807;0,2929978
2200002K05RIK;RIKEN cDNA 2200002K05 gene;5,620215676;5,647107163;5,808382386;5,591489682;5,478181831;5,572212879;5,336479067;5,465008487;-0,028783861;-0,033706363;-0,06322789;-0,02352555;0,033284537;0,016691209;0,058290325;0,035609191;5,6667986;5,4629703;0,2038283
2210403K04RIK | MIR22;RIKEN cDNA 2210403K04 gene | microRNA 22;5,263411879;5,039552543;4,984825866;5,269933635;5,343933144;5,481610392;5,412198412;5,4991368;0,031431841;0,072626228;0,08269698;0,030231714;-0,039790814;-0,066579236;-0,053073465;-0,069989421;5,139431;5,4342194;-0,2947884
2310008H04RIK;RIKEN cDNA 2310008H04 gene;7,102546046;7,236263465;6,977206044;7,141215896;7,289664452;7,379864047;7,222680953;7,345791865;0,028313104;0,010019458;0,04546065;0,02302275;-0,024648362;-0,03732698;-0,015233041;-0,032537733;7,1143084;7,3095007;-0,1951923
2310022A10RIK;RIKEN cDNA 2310022A10 gene;5,915032017;6,049260627;5,576496074;5,960641062;6,291667597;6,013333327;6,378333062;6,226324074;0,050162484;0,028608015;0,104524681;0,04283857;-0,070856963;-0,023483801;-0,085607634;-0,059735338;5,8753576;6,2274146;-0,352057
2410075B13RIK;RIKEN cDNA 2410075B13 gene;6,232619475;6,278538087;6,157297272;6,341719519;6,483571592;6,66798103;6,478794536;6,565340293;0,048298353;0,041286723;0,059799819;0,031639115;-0,036949474;-0,066442982;-0,036185456;-0,050027145;6,2525434;6,5489216;-0,2963782
2410124H12RIK;RIKEN cDNA 2410124H12 gene;4,816527358;4,64599756;4,709940444;4,798774017;4,469913862;4,585861917;4,51107168;4,54232627;-0,063886821;-0,026219765;-0,040343632;-0,059965418;0,057538914;0,033091792;0,048860975;0,042271086;4,74281;4,527293;0,215517
2410127L17RIK;RIKEN cDNA 2410127L17 gene;7,26993729;7,742076475;7,472989015;7,643652643;7,921978865;7,785853706;8,037157252;7,926765996;0,08183966;0,022210607;0,056195141;0,034641094;-0,051753369;-0,033680853;-0,067044909;-0,052388928;7,532164;7,9179387;-0,3857747
2610028A01RIK;RIKEN cDNA 2610028A01 gene;6,433343721;6,668537656;6,469629655;6,375820887;6,659614111;6,718272939;6,775508023;7,050137351;0,054042918;0,019460067;0,048707444;0,06250106;-0,026635728;-0,035678482;-0,044501753;-0,086838182;6,4868326;6,8008833;-0,3140507
2610029G23RIK;RIKEN cDNA 2610029G23 gene;7,305715213;7,698150238;7,500873428;7,483919072;8,041461991;7,996573545;7,636047801;8,031964148;0,078319037;0,028809868;0,053698092;0,055837035;-0,07260049;-0,0666131;-0,018524818;-0,071333631;7,4971642;7,926512;-0,4293478
2610030H06RIK;RIKEN cDNA 2610030H06 gene;7,232851891;7,553077091;7,332218752;7,223543849;7,481749151;7,66430737;7,718362253;7,710682498;0,053759246;0,011865656;0,040759537;0,054976974;-0,019947951;-0,044835164;-0,052204185;-0,051157244;7,3354225;7,6437755;-0,308353
2700046G09RIK;RIKEN cDNA 2700046G09 gene;5,764675984;5,732621031;5,719714909;5,657732425;5,634768544;5,46118893;5,603235809;5,567037886;-0,035590863;-0,029832376;-0,027513865;-0,016379068;0,014674255;0,045027314;0,020188237;0,026518;5,718686;5,5665574;0,1521286
2700097O09RIK;RIKEN cDNA 2700097O09 gene;5,799336631;6,272949361;5,979675093;6,272219349;6,466031164;6,675818834;6,585080138;6,543484649;0,116978199;0,044864715;0,089519404;0,044975869;-0,063309264;-0,097807887;-0,082886324;-0,076046135;6,0810447;6,567603;-0,4865583
2810453I06RIK;RIKEN cDNA 2810453I06 gene;6,187463267;6,529508072;6,61503747;6,5052329;6,654483278;6,863110519;7,016615799;6,735354369;0,092400171;0,042227784;0,029682017;0,045788555;-0,030215729;-0,062514415;-0,086279379;-0,04273581;6,4593105;6,8173914;-0,3580809
2810474O19RIK;RIKEN cDNA 2810474O19 gene;8,342088871;8,088686979;7,970653268;8,000148761;7,795284299;7,84387825;7,669874363;7,577122232;-0,080366016;-0,047548482;-0,032262189;-0,036082087;0,037666032;0,031667071;0,053147987;0,064598311;8,100394;7,7215395;0,3788545
3110057O12RIK | GM2011;RIKEN cDNA 3110057O12 gene | predicted gene 2011;6,745979266;6,449631127;6,548315698;6,616466976;6,34343469;6,317731401;6,429899415;6,183772754;-0,0676198;-0,020719694;-0,036337531;-0,047123164;0,037429384;0,041329673;0,024308984;0,061656935;6,590098;6,3187094;0,2713886
4632415K11RIK;RIKEN cDNA 4632415K11 gene;6,703217566;6,827667382;6,836853675;6,75776545;6,533895678;6,558570026;6,740575537;6,639786568;-0,012844954;-0,031649113;-0,033037147;-0,021087048;0,036494116;0,03285557;0,006016546;0,02087916;6,781376;6,618207;0,163169
4832428D23RIK;RIKEN cDNA 4832428D23 gene;3,534541311;3,733970001;3,731475749;3,5393373;3,098926748;3,466549903;3,483022631;3,149934091;-0,071200305;-0,131640418;-0,130884494;-0,072653808;0,14743581;0,046296815;0,041764904;0,133402876;3,634831;3,2996082;0,3352228
4921506J03RIK;RIKEN cDNA 4921506J03 gene;7,063535008;7,189132298;7,060264488;7,090711543;7,299985041;7,303280701;7,394190109;7,234080181;0,033436353;0,016249807;0,033883886;0,029717557;-0,028035044;-0,028499162;-0,041301661;-0,018753859;7,1009107;7,307884;-0,2069733
4921530L21RIK;RIKEN cDNA 4921530L21 gene;3,15188756;3,009434629;3,125043661;3,083797414;3,457980436;3,332128453;3,146082256;3,33222611;0,049807434;0,092752404;0,057900005;0,07033442;-0,118168016;-0,077472685;-0,01731303;-0,077504263;3,092541;3,317104;-0,224563
4930402H24RIK;RIKEN cDNA 4930402H24 gene;7,230823313;7,729596788;7,492283952;7,368343922;7,763301598;8,015044667;8,191028255;7,944770632;0,093715525;0,031201114;0,060945022;0,076479203;-0,041318413;-0,075085579;-0,098690865;-0,065659481;7,455262;7,978536;-0,523274
4930430J20RIK;RIKEN cDNA 4930430J20 gene;5,882318834;5,723805353;5,756626884;5,557613155;5,494815135;5,481937994;5,368350021;5,37382459;-0,083353379;-0,05415977;-0,060204549;-0,023551963;0,041059708;0,043306992;0,063130058;0,062174651;5,730091;5,4297323;0,3003587
4930449A18RIK;RIKEN cDNA 4930449A18 gene;4,157252928;3,69106863;4,132485694;3,712207352;3,602718286;3,708678509;3,235139953;3,365964701;-0,195256803;-0,061223594;-0,188135946;-0,067301213;0,081701377;0,054693124;0,175393598;0,142047614;3,9232535;3,4781253;0,4451282
4930455C21RIK;RIKEN cDNA 4930455C21 gene;7,220218503;7,593785124;7,38879646;7,588170479;7,84340722;7,792698289;8,052038501;8,0039251;0,088703451;0,041553912;0,067426462;0,042262562;-0,053125386;-0,046316755;-0,081138071;-0,074677939;7,447743;7,9230175;-0,4752745
4930473A06RIK;RIKEN cDNA 4930473A06 gene;5,852101775;6,086026297;5,874893148;5,679796717;6,208155384;6,149274795;6,234155299;6,28760095;0,059116872;0,021507199;0,055452544;0,086819555;-0,057030436;-0,047005143;-0,061457307;-0,070557221;5,873204;6,2197967;-0,3465927
4930519G04RIK | GM9936;RIKEN cDNA 4930519G04 gene | predicted gene 9936;5,017696726;4,827834836;5,008231695;4,776180023;4,701955326;4,592571375;4,643294716;4,598767006;-0,082765982;-0,04179579;-0,080723528;-0,030649227;0,041881052;0,064170254;0,053834343;0,062907769;4,907486;4,634147;0,273339
4930572J05RIK;RIKEN cDNA 4930572J05 gene;7,677560787;7,739444154;7,266687505;7,62378107;7,866963284;7,799624038;8,050147061;8,036324201;0,03284146;0,025045882;0,084600035;0,039616205;-0,038286897;-0,02939942;-0,06246361;-0,06063926;7,5768685;7,938265;-0,3613965
4932411N23RIK;RIKEN cDNA 4932411N23 gene;3,200918954;3,326778788;3,38358736;3,274551359;2,961890608;3,149897096;3,097915971;3,203063812;-0,03149243;-0,072050616;-0,090357112;-0,055220387;0,101493321;0,044460463;0,060229239;0,028332032;3,2964592;3,1031919;0,1932673
4932415M13RIK;RIKEN cDNA 4932415M13 gene;4,094168608;3,951512728;4,100484964;4,170330663;3,688577508;3,725769139;3,624343685;3,445368634;-0,130668841;-0,091272184;-0,132413202;-0,151702187;0,095742736;0,086625183;0,111489701;0,155365555;4,079124;3,6210148;0,4581092
4932441K18RIK;RIKEN cDNA 4932441K18 gene;7,598198168;7,708561393;7,513761278;7,565503703;7,74549081;7,667541495;7,744974256;7,764955277;0,017144843;0,00286895;0,028067068;0,021373994;-0,019612281;-0,009351075;-0,019544282;-0,022174573;7,596506;7,7307405;-0,1342345
4933407H18RIK;RIKEN cDNA 4933407H18 gene;6,731195743;6,6795011;6,418878248;6,389349837;6,319527574;6,155846819;6,258561704;6,321459547;-0,074610103;-0,066357248;-0,024749789;-0,020035689;0,035883061;0,060854451;0,045184109;0,035588316;6,5547314;6,2638493;0,2908821
4933434I20RIK;RIKEN cDNA 4933434I20 gene;4,435711179;3,959144729;4,137794006;3,918026329;3,739314958;3,596113071;3,614761811;3,773001941;-0,205095042;-0,075621358;-0,124156835;-0,064450302;0,090781447;0,125601144;0,121066682;0,08259042;4,112669;3,6807978;0,4318712
4933439F18RIK;RIKEN cDNA 4933439F18 gene;7,244842347;7,881642511;7,386556294;7,885636728;7,953786179;7,923461997;8,366729264;8,230472917;0,107625497;0,029188424;0,090170057;0,028696441;-0,046596326;-0,042606129;-0,100933306;-0,083004059;7,5996695;8,118612;-0,5189425
5530400C23RIK;RIKEN cDNA 5530400C23 gene;3,608945591;3,493449447;3,59952516;3,360377789;3,230514228;2,890923767;3,279051162;3,128711628;-0,15217108;-0,11529845;-0,149163568;-0,072814763;0,081084976;0,177680983;0,067278716;0,110042575;3,5155745;3,1323001;0,3832744
6030408B16RIK;RIKEN cDNA 6030408B16 gene;6,466939983;6,266221084;6,464518032;6,141741871;6,126101449;6,098423875;5,986559984;6,002975125;-0,068294958;-0,035137547;-0,067894869;-0,014574419;0,03295317;0,037322263;0,05498074;0,052389498;6,334855;6,0535154;0,2813396
6030446N20RIK;RIKEN cDNA 6030446N20 gene;6,714525685;6,767234034;6,732969388;6,775156872;6,603934017;6,710254971;6,640386792;6,642458426;-0,009815785;-0,017742737;-0,012589583;-0,018934274;0,021272854;0,0055157;0,015870419;0,015563395;6,747472;6,649258;0,098214
6030458C11RIK;RIKEN cDNA 6030458C11 gene;6,658345102;6,690001003;6,732976882;6,862538933;6,902722414;6,847187872;6,984069019;7,011590615;0,040085276;0,035521534;0,029325824;0,01064723;-0,02475617;-0,016511689;-0,036832628;-0,040918396;6,7359657;6,9363923;-0,2004266
6330406I15RIK;RIKEN cDNA 6330406I15 gene;5,279680886;5,720766683;5,251138138;5,623287278;5,933926342;5,66633031;6,082266719;5,792882634;0,100389346;0,02523225;0,105252776;0,041841874;-0,085067166;-0,036135034;-0,112192422;-0,059276166;5,468718;5,868851;-0,400133
7120432I05RIK;RIKEN cDNA 7120432I05 gene;3,479111657;3,341965971;3,494510249;3,453159341;3,685280858;3,475257012;3,568780562;3,63921267;0,03146352;0,069642979;0,027176766;0,038688285;-0,070621983;-0,009607326;-0,036777133;-0,057238576;3,4421868;3,5921328;-0,149946
7420416P09RIK;RIKEN cDNA 7420416P09 gene;5,571697216;5,167632195;5,580726207;5,29422044;5,123125803;5,187508348;4,946089795;4,914642779;-0,104872454;-0,024746005;-0,106662911;-0,049848566;0,051899571;0,039984752;0,084662365;0,09048204;5,4035687;5,042842;0,3607267
9030425E11RIK;RIKEN cDNA 9030425E11 gene;4,595530373;4,979638177;4,751359911;4,82790268;5,387024984;5,404246999;5,676058392;5,247273074;0,153467246;0,082711575;0,124762222;0,110662444;-0,124966887;-0,128563342;-0,185325436;-0,095782639;4,7886076;5,4286504;-0,6400428
9030625A04RIK;RIKEN cDNA 9030625A04 gene;6,521356183;6,765170129;6,402632686;6,66511936;6,863472383;6,926152638;7,009268629;6,928601086;0,059221671;0,024048791;0,076348858;0,03848223;-0,041724198;-0,051237683;-0,063852863;-0,051609303;6,5885696;6,9318733;-0,3433037
9130017K11RIK;RIKEN cDNA 9130017K11 gene;5,726766936;5,671276507;5,873084644;5,716980366;5,474459724;5,602554965;5,672592231;5,413222279;-0,033580429;-0,023565385;-0,059988194;-0,031814125;0,047427527;0,025138569;0,012951874;0,058083026;5,747027;5,5407076;0,2063194
9330133O14RIK;RIKEN cDNA 9330133O14 gene;6,24075875;5,783288753;6,12194372;5,895253108;5,632473918;5,620047889;5,428231655;5,738774853;-0,113450475;-0,031830562;-0,092251987;-0,051806782;0,062864814;0,064932266;0,096846793;0,045178385;6,010311;5,6048822;0,4054288
9830001H06RIK;RIKEN cDNA 9830001H06 gene;5,523896756;5,665982698;5,801112588;5,413020373;5,993584991;5,804466897;6,320050576;5,879932411;0,079275195;0,055592266;0,033068775;0,097756104;-0,070091373;-0,036326332;-0,128378359;-0,049799904;5,601003;5,999509;-0,398506
9930111J21RIK2 | 9930111J21RIK1 | GM5431;RIKEN cDNA 9930111J21 gene 2 | RIKEN cDNA 9930111J21 gene 1 | predicted gene 5431;7,049994405;7,292576693;7,19695181;7,097964912;7,416638443;7,285187567;7,34303521;7,368924209;0,041266584;0,008277657;0,021281749;0,034743043;-0,035934176;-0,017573505;-0,025653493;-0,029269592;7,1593723;7,353446;-0,1940737
A530016L24RIK;RIKEN cDNA A530016L24 gene;6,635657261;6,689009106;6,848723414;6,671297382;7,194173928;7,744381279;7,645656623;7,354036158;0,113420764;0,106292512;0,084953346;0,108658946;-0,071969897;-0,153953697;-0,139243202;-0,095790213;6,7111716;7,484562;-0,7733904
A730013G03RIK;RIKEN cDNA A730013G03 gene;5,267113887;5,137514682;5,22550381;5,099550312;4,968737673;4,934256639;4,968737673;5,145142843;-0,052534733;-0,026636742;-0,044219733;-0,019050269;0,041232281;0,047885742;0,041232281;0,007193136;5,1824207;5,0042186;0,1782021
A930013B10RIK;RIKEN cDNA A930013B10 gene;7,789329853;8,310391286;7,90570871;7,94673903;8,306414094;8,308325624;8,422996208;8,735393876;0,077452364;0,015739225;0,063668759;0,058809237;-0,039856035;-0,040095334;-0,054450613;-0,093558777;7,9880424;8,443282;-0,4552396
AA408296;expressed sequence AA408296;7,963528345;7,919499333;7,733121538;7,856938559;8,13506584;8,015162203;8,113355207;8,050323718;0,014229001;0,019679163;0,042750071;0,027423293;-0,033907552;-0,018668674;-0,031148289;-0,023137446;7,868272;8,078477;-0,210205
AACS;acetoacetyl-CoA synthetase;7,140219765;7,566677175;7,708570387;7,585298378;7,959430722;8,128594898;8,385991333;8,140599205;0,124292033;0,07198942;0,054587012;0,069705634;-0,061230404;-0,083785053;-0,118103703;-0,085385586;7,500191;8,153654;-0,653463
AARS2;"""alanyl-tRNA synthetase 2, mitochondrial (putative)""";6,408924476;6,428157721;6,270293655;6,551432172;6,567569908;6,500937364;6,681633786;6,653159543;0,029072247;0,026158483;0,050074291;0,007482872;-0,023830867;-0,013443394;-0,0416125;-0,037173596;6,414702;6,6008253;-0,1861233
AASDHPPT;aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase;7,422204546;8,004940465;7,746260063;7,953032767;8,217925508;8,234501391;8,406102413;8,394663407;0,107188922;0,037092083;0,068208542;0,043336018;-0,05607015;-0,058200285;-0,08025241;-0,078782404;7,7816095;8,313298;-0,5316885
ABCA16;"""ATP-binding cassette, sub-family A (ABC1), member 16""";3,461752681;3,429525228;3,705474232;3,385312521;3,149838752;3,296279787;3,250322654;3,206243704;-0,073188394;-0,063197464;-0,148745248;-0,04949095;0,0988917;0,056997735;0,070145188;0,082755327;3,4955163;3,225671;0,2698453
ABCA7;"""ATP-binding cassette, sub-family A (ABC1), member 7""";7,048414514;7,031107997;7,015428652;6,981261258;7,172262545;7,273514659;7,301754571;7,402273046;0,03280115;0,035175988;0,037327543;0,042016067;-0,021827593;-0,036252916;-0,040276238;-0,05459704;7,0190535;7,2874513;-0,2683978
ABCB5;"""ATP-binding cassette, sub-family B (MDR/TAP), member 5""";3,526629816;3,597797729;3,48616618;3,531303757;3,42036332;3,48822971;3,428087625;3,41289991;-0,025959923;-0,046663946;-0,014188324;-0,027319656;0,032558851;0,013363013;0,030374051;0,034669857;3,5354743;3,4373953;0,098079
ABCE1;"""ATP-binding cassette, sub-family E (OABP), member 1""";9,318078418;9,750802338;9,462246491;9,294987181;9,930411135;9,817946022;9,825849933;9,917005716;0,056187142;0,012357247;0,041584594;0,058526015;-0,050111636;-0,038218782;-0,039054597;-0,048694052;9,456529;9,872803;-0,416274
ABHD15 | GM10392;abhydrolase domain containing 15 | predicted gene 10392;7,235542602;6,773416969;6,951240522;7,00589609;6,467974234;6,494671579;6,491832696;6,605512551;-0,110597824;-0,039665242;-0,066959732;-0,075348924;0,074883497;0,071064967;0,071471013;0,055211346;6,991524;6,514998;0,476526
ABLIM1;actin-binding LIM protein 1;9,185867939;9,317390612;9,265279487;9,177863811;9,265523333;9,382160354;9,481649655;9,456217531;0,022404256;0,008407102;0,013952971;0,023256086;-0,003131274;-0,015758974;-0,026530177;-0,023776769;9,236601;9,396387;-0,159786
ABO;"""ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase, transferase B, alpha 1-3-galactosyltransferase)""";4,790367786;4,273088742;4,501333241;4,195698179;4,225374166;4,036487567;3,768683324;3,868810902;-0,205172785;-0,075034421;-0,132456746;-0,055564308;0,0483653;0,090906158;0,151220772;0,128670135;4,440122;3,974839;0,465283
ACACA;acetyl-Coenzyme A carboxylase alpha;8,670817631;8,578528836;9,133926617;7,607565043;9,235923843;10,11878738;10,15435818;9,756878498;0,116708693;0,126110101;0,069532042;0,225021635;-0,08687222;-0,190766521;-0,194952449;-0,148177526;8,497709;9,816487;-1,318778
ACAD9;"""acyl-Coenzyme A dehydrogenase family, member 9""";7,754072195;7,99991578;7,899552103;8,025814115;8,175833805;8,21872542;8,212132745;8,100559322;0,051699832;0,021633886;0,033908068;0,018466596;-0,032323312;-0,03773903;-0,036906605;-0,022818764;7,9198384;8,176812;-0,2569736
ACAP1;"""ArfGAP with coiled-coil, ankyrin repeat and PH domains 1""";8,86285242;8,823727516;8,78783988;8,947029085;9,189314889;9,138881025;9,265603618;9,426511676;0,042379397;0,046606796;0,050484412;0,033284209;-0,037711941;-0,03201665;-0,046326917;-0,064497609;8,855362;9,255077;-0,399715
ACAP3;"""ArfGAP with coiled-coil, ankyrin repeat and PH domains 3""";6,565679459;6,666399703;6,675708298;6,572512535;6,786939729;6,713281122;6,979571109;6,974963992;0,043418331;0,028743972;0,027387763;0,042422792;-0,025205867;-0,014079315;-0,054303933;-0,053608002;6,620075;6,8636894;-0,2436144
ACLY;ATP citrate lyase;9,589229465;9,319709187;9,53604633;9,223556887;10,35662956;10,83755685;10,81514044;10,57755404;0,099325476;0,124640341;0,104320736;0,133671508;-0,099764372;-0,150833757;-0,148453371;-0,123224212;9,417135;10,64672;-1,229585
ACOT11;acyl-CoA thioesterase 11;5,962309614;6,395670757;6,569567311;6,053661065;6,690257702;7,090070282;6,870785298;6,981924677;0,136930264;0,074199391;0,049027124;0,123706752;-0,071246467;-0,135264601;-0,10015261;-0,117948288;6,245302;6,9082594;-0,6629574
ACOT7;acyl-CoA thioesterase 7;7,112312766;7,797481111;7,33215401;7,769485283;8,183023697;8,036417664;8,432631358;8,502330718;0,141916378;0,059252447;0,115393055;0,062630077;-0,090654214;-0,071114189;-0,123922558;-0,133212266;7,502858;8,288601;-0,785743
ACP1;"""acid phosphatase 1, soluble""";7,995476211;8,127595129;7,912348245;8,036194551;7,913056943;7,893213199;7,845085747;7,793645584;-0,017074359;-0,033880708;-0,006499964;-0,022253985;0,013076494;0,015551423;0,021553922;0,027969585;8,017903;7,8612504;0,1566526
ACSL5;acyl-CoA synthetase long-chain family member 5;9,018062136;9,319695597;9,401793591;9,256847793;9,491578387;9,591612134;9,514454892;9,575201592;0,055028628;0,023421507;0,014818743;0,030007109;-0,02621643;-0,037031942;-0,028689807;-0,035257657;9,2491;9,543212;-0,294112
ACSS2;acyl-CoA synthetase short-chain family member 2;7,806177749;8,139182848;8,17051645;8,245916819;8,665904914;9,141233813;9,596411222;9,152575023;0,145841857;0,109404176;0,105975628;0,09772526;-0,071127942;-0,129879806;-0,186140894;-0,131281608;8,090448;9,139031;-1,048583
ACTG1;"""actin, gamma, cytoplasmic 1""";11,88434744;12,10855767;11,90335994;12,17291525;12,24514801;12,21779259;12,38505034;12,25249213;0,0318346;0,01356918;0,030285735;0,008326252;-0,018960424;-0,016684086;-0,030602173;-0,019571553;12,017295;12,275121;-0,257826
