Name,Description,FLT1,FLT2,FLT3,FLT4,AEM1,AEM2,AEM3,AEM4,Flight Mean,AEM Mean,F vs AEM,cluster
NPR3,natriuretic peptide receptor 3,5.964263861,6.386866007,6.270603491,6.122027883,6.574735565,6.995179022,7.398697081,6.61035893,6.1859403,6.894743,-0.7088027,E
EHD2,EH-domain containing 2,6.737057439,7.540034362,7.355257461,7.189705137,7.581177814,7.907422988,8.511212898,7.640702546,7.2055135,7.910129,-0.7046155,H
LGALS1,"""lectin, galactose binding, soluble 1""",9.476245523,10.00057116,9.723220691,9.991801095,10.40509569,10.4469474,10.58664612,10.55508269,9.79796,10.498444,-0.700484,D
SLC25A35,"""solute carrier family 25, member 35""",5.830098277,6.525277844,6.56717463,6.288194781,6.74130507,6.964307577,7.32746479,6.978624352,6.302686,7.0029254,-0.7002394,A
GRK5,G protein-coupled receptor kinase 5,6.249214055,6.945534939,6.634670972,6.966138165,7.407286109,7.424887559,7.52780191,7.229352968,6.6988897,7.397332,-0.6984423,H
PRKCDBP,"""protein kinase C, delta binding protein""",6.318376046,6.675624009,6.351601161,6.715688641,7.221466435,6.836826804,7.726939503,7.058351635,6.515322,7.210896,-0.695574,A
SLC39A10,"""solute carrier family 39 (zinc transporter), member 10""",7.315084964,8.142388457,7.721057834,7.575491043,8.400321413,8.508003742,8.337811181,8.288014407,7.6885056,8.383537,-0.6950314,J
NETO2,neuropilin (NRP) and tolloid (TLL)-like 2,5.851420263,6.134975039,5.881962811,5.884753586,6.723773143,6.511331885,6.65878571,6.63815483,5.938278,6.6330113,-0.6947333,A
PARM1,prostate androgen-regulated mucin-like protein 1,7.422457143,7.471378239,7.012034622,7.53500135,7.845498361,7.961346666,8.302700314,8.109097604,7.3602176,8.054661,-0.6944434,I
PROKR2,prokineticin receptor 2,6.13881324,5.639120973,5.888818236,5.660444781,6.464502663,6.503913742,6.391995201,6.737274857,5.831799,6.5244217,-0.6926227,F
IFITM3,interferon induced transmembrane protein 3,9.061747786,9.918890827,9.414707941,9.952287321,10.02879608,10.21942231,10.58246981,10.27322745,9.586908,10.275979,-0.689071,E
LCTL | ZWILCH,"""lactase-like | Zwilch, kinetochore associated, homolog (Drosophila)""",5.04041466,4.864675569,5.026273424,4.807038075,5.171557452,5.574580575,5.938763647,5.805975497,4.934601,5.6227193,-0.6881183,J
CCNE2 | INTS8,cyclin E2 | integrator complex subunit 8,6.901419093,6.953786563,6.632359994,6.215017949,7.597893629,7.086744166,7.194615016,7.557108904,6.675646,7.359091,-0.683445,H
LRRN4,leucine rich repeat neuronal 4,5.627192473,6.278496768,5.82243489,6.097248988,6.605355361,6.425078889,7.119850998,6.401986256,5.9563437,6.6380672,-0.6817235,B
CTPS,cytidine 5'-triphosphate synthase,6.619494229,7.290717136,6.760443597,6.995698538,7.822606126,7.526954311,7.407181345,7.600301838,6.9165883,7.5892606,-0.6726723,D
MYO5C,myosin VC,6.101790396,6.150267089,6.204283958,6.383643506,6.785067767,6.864110442,7.129805068,6.750648348,6.2099967,6.8824077,-0.672411,A
CHN1,chimerin (chimaerin) 1,4.471379331,4.873175858,4.775502629,4.655581251,5.082232011,5.325135349,5.546346408,5.475508341,4.6939096,5.3573055,-0.6633959,H
ACOT11,acyl-CoA thioesterase 11,5.962309614,6.395670757,6.569567311,6.053661065,6.690257702,7.090070282,6.870785298,6.981924677,6.245302,6.9082594,-0.6629574,F
KRT5,keratin 5,8.208713586,8.750652762,8.1402682,8.660792748,9.023309236,9.083130298,9.42745617,8.865405931,8.440106,9.099825,-0.65971900000000006,J
MCOLN3,mucolipin 3,5.531931044,5.983442317,5.560955956,6.273051892,6.51662508,6.413415497,6.518979993,6.535121043,5.837345,6.4960356,-0.6586906,H
CCND2,cyclin D2,9.256942828,10.05427367,9.665738782,9.790908649,10.35231854,10.27942032,10.54556829,10.208418,9.691966,10.346432,-0.654466,J
AACS,acetoacetyl-CoA synthetase,7.140219765,7.566677175,7.708570387,7.585298378,7.959430722,8.128594898,8.385991333,8.140599205,7.500191,8.153654,-0.653463,C
ST13,suppression of tumorigenicity 13,8.205012283,8.520333697,8.217447102,8.536416288,9.158462981,9.027306653,9.011954955,8.891326805,8.369802,9.022263,-0.652461,F
PDCD1LG2,programmed cell death 1 ligand 2,5.208053461,5.234686233,4.954247116,5.547893838,5.933406187,5.715162676,5.907981839,5.991248119,5.23622,5.8869495,-0.6507295,D
CD44,CD44 antigen,6.066596895,6.823321501,6.321570741,6.484775309,6.98272566,7.052102005,7.436010636,6.812277763,6.424066,7.070779,-0.646713,J
HSPA8 | LOC624853,heat shock protein 8 | hypothetical LOC624853,11.49245472,11.97237771,11.80425587,11.80792835,12.43886391,12.41504561,12.46690811,12.33791361,11.769255,12.414682,-0.645427,E
CNN1,calponin 1,5.940472375,5.849149064,6.324195066,6.276911729,6.782755773,6.701155397,6.835097894,6.651750259,6.097682,6.74269,-0.645008,D
EMR4,"""EGF-like module containing, mucin-like, hormone receptor-like sequence 4""",4.981753805,5.442261218,5.179399278,5.498420072,6.10219113,5.938571384,5.865582988,5.762961887,5.275459,5.917327,-0.641868,H
9030425E11RIK,RIKEN cDNA 9030425E11 gene,4.595530373,4.979638177,4.751359911,4.82790268,5.387024984,5.404246999,5.676058392,5.247273074,4.7886076,5.4286504,-0.6400428,B
TNIP3,TNFAIP3 interacting protein 3,4.628312128,4.46738446,4.591921327,5.098589509,5.413550269,5.208218862,5.572688023,5.14308519,4.696552,5.334386,-0.637834,B
CYP51,"""cytochrome P450, family 51""",5.478628309,6.396078395,6.19370383,5.828562087,6.862503648,6.427406894,6.601112273,6.554495397,5.9742427,6.611379,-0.6371363,B
HK2,hexokinase 2,6.916437964,7.42865222,7.648302756,7.409677468,7.947891837,8.187592839,8.150199688,7.662995693,7.3507676,7.98717,-0.6364024,H
TUBB6,"""tubulin, beta 6""",6.823606575,6.80590279,6.669440048,7.262033603,7.312694564,7.380747329,7.736962105,7.672074582,6.890246,7.52562,-0.635374,G
SCD2,stearoyl-Coenzyme A desaturase 2,9.827206969,10.17262075,9.901585804,9.870527562,10.50304754,10.76154928,10.60671031,10.42821823,9.942986,10.574882,-0.631896,E
MMP9,matrix metallopeptidase 9,5.888828428,6.598353642,5.945001706,6.385033829,6.705763719,6.727862747,6.918095916,6.976479784,6.2043047,6.832051,-0.6277463,A
FOXN1,forkhead box N1,6.165110845,6.469733133,6.554735173,6.223088652,6.919401076,6.912173856,7.064653042,7.027245473,6.353167,6.9808683,-0.6277013,G
SPON2,"""spondin 2, extracellular matrix protein""",5.526123335,5.555045784,5.82894088,5.492807582,6.032720783,6.14879504,6.65120896,6.075900319,5.6007295,6.2271566,-0.6264271,G
DHCR24,24-dehydrocholesterol reductase,7.549976977,8.094685567,7.712108241,7.537668261,8.270537257,8.287565855,8.404744266,8.433245904,7.72361,8.349024,-0.625414,F
PAQR9,progestin and adipoQ receptor family member IX,6.050796426,6.293359047,6.500004406,6.527287997,6.696186978,6.901015128,7.328763931,6.94167259,6.342862,6.96691,-0.624048,G
POFUT2,protein O-fucosyltransferase 2,6.489320669,7.022226937,6.511571143,7.034835173,7.145035031,7.16083797,7.685043062,7.530661301,6.764488,7.3803945,-0.6159065,A
SLC2A5,"""solute carrier family 2 (facilitated glucose transporter), member 5""",5.140707049,4.536446659,4.749046154,4.945689344,5.51958573,5.47142514,5.512539677,5.319945528,4.8429723,5.4558744,-0.6129021,G
SLC2A4,"""solute carrier family 2 (facilitated glucose transporter), member 4""",6.709666581,7.28020347,7.505655249,7.431501725,7.503902281,7.711443747,8.204809605,7.953932483,7.2317567,7.8435216,-0.6117649,C
CLIC5,chloride intracellular channel 5,7.562218138,8.288787159,7.832764409,7.616488479,8.280735404,8.432771522,8.661643018,8.361696511,7.8250647,8.434212,-0.6091473,H
OBFC2A,oligonucleotide/oligosaccharide-binding fold containing 2A,9.166424766,9.274904692,9.385098777,9.550866078,10.01034,10.08410879,9.831980652,9.882013668,9.344323,9.95211,-0.607787,C
CACNB3,"""calcium channel, voltage-dependent, beta 3 subunit""",6.577569546,6.9341706,6.629164972,7.064612526,7.310845037,7.372759868,7.515322086,7.437656781,6.801379,7.409146,-0.607767,E
PPRC1,"""peroxisome proliferative activated receptor, gamma, coactivator-related 1""",6.046793049,6.408016733,5.94085543,6.176658723,6.67618746,6.595530859,6.868449142,6.858321723,6.1430807,6.7496223,-0.6065416,D
1110021L09RIK,RIKEN cDNA 1110021L09 gene,5.556042036,5.911571202,5.798638402,5.502771069,6.020134909,6.243869713,6.568870779,6.358515809,5.6922555,6.2978477,-0.6055922,C
HSPA4L,heat shock protein 4 like,7.823572923,8.354569237,8.024164245,8.276017616,8.865955821,8.726815062,8.748396543,8.559521363,8.119581,8.725172,-0.605591,D
PTGES3,prostaglandin E synthase 3 (cytosolic),9.912505969,10.11500038,9.862168674,9.88173045,10.55693561,10.47997041,10.619995,10.53646578,9.942851,10.548342,-0.605491,J
DIRAS2,"""DIRAS family, GTP-binding RAS-like 2""",6.620463797,6.868957853,6.683340649,6.849421891,7.221795881,7.419922948,7.347872764,7.449027655,6.755546,7.359655,-0.604109,A
PPARG,peroxisome proliferator activated receptor gamma,6.858992599,7.652687191,7.497763458,7.431393985,7.889286254,8.12988173,8.1564454,7.679900705,7.3602095,7.9638786,-0.6036691,B
CD83,CD83 antigen,6.700422102,7.002553567,6.86422384,7.25502083,7.567553062,7.336034804,7.53338243,7.797977095,6.955555,7.558737,-0.603182,G
MORC4,microrchidia 4,4.835098689,5.402273378,5.13523607,5.221175451,5.730131268,5.858610589,5.834129083,5.582719729,5.148446,5.7513976,-0.6029516,B
TNFRSF9,"""tumor necrosis factor receptor superfamily, member 9""",6.404634133,6.688650775,6.765135836,6.93266006,7.324899601,7.395076555,7.210918492,7.26845538,6.69777,7.2998376,-0.6020676,A
FSCN1,"""fascin homolog 1, actin bundling protein (Strongylocentrotus purpuratus)""",7.586449227,7.673391572,7.274802101,7.927091096,8.232288266,8.01674097,8.464919457,8.152404258,7.615433,8.216588,-0.601155,F
HSPE1 | HSPE1-RS1,"""heat shock protein 1 (chaperonin 10) | heat shock protein 1 (chaperonin 10), related sequence 1""",10.04533033,10.22396499,10.58512338,10.48607278,10.97983007,10.83440772,10.83054827,11.09138684,10.335123,10.934044,-0.598921,H
D4BWG0951E,"""DNA segment, Chr 4, Brigham & Women's Genetics 0951 expressed""",5.774116895,6.528938896,6.021028451,6.438949273,6.771539088,6.982145829,6.882821552,6.50890922,6.1907587,6.786354,-0.5955953,C
HHIP,Hedgehog-interacting protein,5.699865912,6.184170393,5.54778062,6.092065718,6.498764463,6.503293995,6.797639563,6.106154554,5.8809705,6.4764633,-0.5954928,J
IFI44,interferon-induced protein 44,6.851127902,7.676949063,7.117894683,7.375393454,7.818895111,8.007682301,7.830369573,7.740137342,7.255341,7.849271,-0.59393,F
MLXIPL,MLX interacting protein-like,6.170947914,6.283064196,6.524593603,6.167432543,6.716361826,6.871743944,7.115790446,6.812978802,6.2865095,6.8792186,-0.5927091,B
ENDOD1,endonuclease domain containing 1,6.402137105,6.820132941,6.484018333,6.431505807,6.966681644,7.028286699,7.392090212,7.120616291,6.534448,7.126919,-0.592471,B
GPR125,G protein-coupled receptor 125,6.062055255,6.607454532,6.202085452,6.306846913,6.645043081,6.940485603,7.212986709,6.745220602,6.2946105,6.885934,-0.5913235,A
SH3PXD2A,SH3 and PX domains 2A,6.217234376,6.692474649,6.615110136,6.925725737,7.048107134,6.913202145,7.55884804,7.280046761,6.6126366,7.200051,-0.5874144,I
CIB2 | SH2D7,calcium and integrin binding family member 2 | SH2 domain containing 7,7.127592094,7.400666776,7.517849688,7.570815664,7.857068583,7.886471148,8.230706728,7.987272252,7.404231,7.99038,-0.586149,G
CHEK1,checkpoint kinase 1 homolog (S. pombe),7.32658282,7.60893218,7.24057953,7.001983944,8.033278239,7.924526836,7.53320243,8.017322477,7.2945194,7.877083,-0.5825636,D
CALR,calreticulin,9.535251879,9.842044718,9.632954512,9.726509241,10.11030665,10.28800298,10.50506313,10.1632604,9.68419,10.266659,-0.582469,C
SLC5A3,"""solute carrier family 5 (inositol transporters), member 3""",6.385653896,6.619200925,6.45226458,6.374705842,7.021371481,7.044262031,7.164287079,6.929846977,6.4579563,7.039942,-0.5819857,E
CDCA7,cell division cycle associated 7,9.995338811,10.29134665,10.00137668,9.758419959,10.5555945,10.59642525,10.60584603,10.61532953,10.0116205,10.593299,-0.5816785,J
BYSL,bystin-like,6.18886536,6.444569085,6.176381874,6.503300361,7.016815898,6.571779473,7.032436751,7.015171698,6.328279,6.9090505,-0.5807715,D
UPK3B,uroplakin 3B,6.652267807,7.430962567,6.848025569,7.178800916,7.504541228,7.39458446,7.961040196,7.572373722,7.0275145,7.608135,-0.5806205,G
MED28,"""mediator of RNA polymerase II transcription, subunit 28 homolog (yeast)""",7.602000603,7.916143053,7.636063517,7.968880144,8.417437435,8.073560842,8.490702149,8.453838953,7.7807717,8.358885,-0.5781133,C
FAM136A,"""family with sequence similarity 136, member A""",4.753188848,5.38032907,5.297743909,5.505528477,6.115450116,5.894526222,5.466219597,5.752931704,5.2341976,5.8072815,-0.5730839,H
DNAJB2,"""DnaJ (Hsp40) homolog, subfamily B, member 2""",5.445292706,5.736970664,5.394122374,5.759350805,6.112888924,5.98700281,6.380857275,6.147237792,5.583934,6.1569967,-0.5730627,H
PDIA6,protein disulfide isomerase associated 6,8.593287639,9.005284962,8.771209647,9.262842406,9.518701469,9.504626894,9.595234723,9.295961228,8.908155,9.478632,-0.570477,I
POLE4,"""polymerase (DNA-directed), epsilon 4 (p12 subunit)""",7.21371753,7.630782957,7.65843132,7.937658624,8.370845411,8.021170656,8.104501053,8.221966728,7.6101475,8.179621,-0.5694735,D
TUBA4A,"""tubulin, alpha 4A""",7.343854684,7.904844656,7.734859256,7.829155814,8.161441859,8.164408756,8.422184076,8.336226223,7.7031784,8.271066,-0.5678876,D
