Name,Description,x,y,sample,value
2610028A01RIK,RIKEN cDNA 2610028A01 gene,2,31,flight2,0.019460067
2610028A01RIK,RIKEN cDNA 2610028A01 gene,3,31,flight3,0.048707444
2610028A01RIK,RIKEN cDNA 2610028A01 gene,4,31,flight4,0.06250106
2610029G23RIK,RIKEN cDNA 2610029G23 gene,1,32,flight1,0.078319037
2610029G23RIK,RIKEN cDNA 2610029G23 gene,2,32,flight2,0.028809868
2610029G23RIK,RIKEN cDNA 2610029G23 gene,3,32,flight3,0.053698092
2610029G23RIK,RIKEN cDNA 2610029G23 gene,4,32,flight4,0.055837035
2610030H06RIK,RIKEN cDNA 2610030H06 gene,1,33,flight1,0.053759246
2610030H06RIK,RIKEN cDNA 2610030H06 gene,2,33,flight2,0.011865656
2610030H06RIK,RIKEN cDNA 2610030H06 gene,3,33,flight3,0.040759537
2610030H06RIK,RIKEN cDNA 2610030H06 gene,4,33,flight4,0.054976974
2700046G09RIK,RIKEN cDNA 2700046G09 gene,1,34,flight1,-0.035590863
2700046G09RIK,RIKEN cDNA 2700046G09 gene,2,34,flight2,-0.029832376
2700046G09RIK,RIKEN cDNA 2700046G09 gene,3,34,flight3,-0.027513865
2700046G09RIK,RIKEN cDNA 2700046G09 gene,4,34,flight4,-0.016379068
2700097O09RIK,RIKEN cDNA 2700097O09 gene,1,35,flight1,0.116978199
2700097O09RIK,RIKEN cDNA 2700097O09 gene,2,35,flight2,0.044864715
2700097O09RIK,RIKEN cDNA 2700097O09 gene,3,35,flight3,0.089519404
2700097O09RIK,RIKEN cDNA 2700097O09 gene,4,35,flight4,0.044975869
2810453I06RIK,RIKEN cDNA 2810453I06 gene,1,36,flight1,0.092400171
2810453I06RIK,RIKEN cDNA 2810453I06 gene,2,36,flight2,0.042227784
2810453I06RIK,RIKEN cDNA 2810453I06 gene,3,36,flight3,0.029682017
2810453I06RIK,RIKEN cDNA 2810453I06 gene,4,36,flight4,0.045788555
2810474O19RIK,RIKEN cDNA 2810474O19 gene,1,37,flight1,-0.080366016
2810474O19RIK,RIKEN cDNA 2810474O19 gene,2,37,flight2,-0.047548482
2810474O19RIK,RIKEN cDNA 2810474O19 gene,3,37,flight3,-0.032262189
2810474O19RIK,RIKEN cDNA 2810474O19 gene,4,37,flight4,-0.036082087
3110057O12RIK | GM2011,RIKEN cDNA 3110057O12 gene | predicted gene 2011,1,38,flight1,-0.0676198
3110057O12RIK | GM2011,RIKEN cDNA 3110057O12 gene | predicted gene 2011,2,38,flight2,-0.020719694
3110057O12RIK | GM2011,RIKEN cDNA 3110057O12 gene | predicted gene 2011,3,38,flight3,-0.036337531
3110057O12RIK | GM2011,RIKEN cDNA 3110057O12 gene | predicted gene 2011,4,38,flight4,-0.047123164
4632415K11RIK,RIKEN cDNA 4632415K11 gene,1,39,flight1,-0.012844954
4632415K11RIK,RIKEN cDNA 4632415K11 gene,2,39,flight2,-0.031649113
4632415K11RIK,RIKEN cDNA 4632415K11 gene,3,39,flight3,-0.033037147
4632415K11RIK,RIKEN cDNA 4632415K11 gene,4,39,flight4,-0.021087048
4832428D23RIK,RIKEN cDNA 4832428D23 gene,1,40,flight1,-0.071200305
4832428D23RIK,RIKEN cDNA 4832428D23 gene,2,40,flight2,-0.131640418
4832428D23RIK,RIKEN cDNA 4832428D23 gene,3,40,flight3,-0.130884494
4832428D23RIK,RIKEN cDNA 4832428D23 gene,4,40,flight4,-0.072653808
4921506J03RIK,RIKEN cDNA 4921506J03 gene,1,41,flight1,0.033436353
4921506J03RIK,RIKEN cDNA 4921506J03 gene,2,41,flight2,0.016249807
4921506J03RIK,RIKEN cDNA 4921506J03 gene,3,41,flight3,0.033883886
4921506J03RIK,RIKEN cDNA 4921506J03 gene,4,41,flight4,0.029717557
4921530L21RIK,RIKEN cDNA 4921530L21 gene,1,42,flight1,0.049807434
4921530L21RIK,RIKEN cDNA 4921530L21 gene,2,42,flight2,0.092752404
4921530L21RIK,RIKEN cDNA 4921530L21 gene,3,42,flight3,0.057900005
4921530L21RIK,RIKEN cDNA 4921530L21 gene,4,42,flight4,0.07033442
4930402H24RIK,RIKEN cDNA 4930402H24 gene,1,43,flight1,0.093715525
4930402H24RIK,RIKEN cDNA 4930402H24 gene,2,43,flight2,0.031201114
4930402H24RIK,RIKEN cDNA 4930402H24 gene,3,43,flight3,0.060945022
4930402H24RIK,RIKEN cDNA 4930402H24 gene,4,43,flight4,0.076479203
4930430J20RIK,RIKEN cDNA 4930430J20 gene,1,44,flight1,-0.083353379
4930430J20RIK,RIKEN cDNA 4930430J20 gene,2,44,flight2,-0.05415977
4930430J20RIK,RIKEN cDNA 4930430J20 gene,3,44,flight3,-0.060204549
4930430J20RIK,RIKEN cDNA 4930430J20 gene,4,44,flight4,-0.023551963
4930449A18RIK,RIKEN cDNA 4930449A18 gene,1,45,flight1,-0.195256803
4930449A18RIK,RIKEN cDNA 4930449A18 gene,2,45,flight2,-0.061223594
4930449A18RIK,RIKEN cDNA 4930449A18 gene,3,45,flight3,-0.188135946
4930449A18RIK,RIKEN cDNA 4930449A18 gene,4,45,flight4,-0.067301213
4930455C21RIK,RIKEN cDNA 4930455C21 gene,1,46,flight1,0.088703451
4930455C21RIK,RIKEN cDNA 4930455C21 gene,2,46,flight2,0.041553912
4930455C21RIK,RIKEN cDNA 4930455C21 gene,3,46,flight3,0.067426462
4930455C21RIK,RIKEN cDNA 4930455C21 gene,4,46,flight4,0.042262562
4930473A06RIK,RIKEN cDNA 4930473A06 gene,1,47,flight1,0.059116872
4930473A06RIK,RIKEN cDNA 4930473A06 gene,2,47,flight2,0.021507199
4930473A06RIK,RIKEN cDNA 4930473A06 gene,3,47,flight3,0.055452544
4930473A06RIK,RIKEN cDNA 4930473A06 gene,4,47,flight4,0.086819555
4930519G04RIK | GM9936,RIKEN cDNA 4930519G04 gene | predicted gene 9936,1,48,flight1,-0.082765982
4930519G04RIK | GM9936,RIKEN cDNA 4930519G04 gene | predicted gene 9936,2,48,flight2,-0.04179579
4930519G04RIK | GM9936,RIKEN cDNA 4930519G04 gene | predicted gene 9936,3,48,flight3,-0.080723528
4930519G04RIK | GM9936,RIKEN cDNA 4930519G04 gene | predicted gene 9936,4,48,flight4,-0.030649227
4930572J05RIK,RIKEN cDNA 4930572J05 gene,1,49,flight1,0.03284146
4930572J05RIK,RIKEN cDNA 4930572J05 gene,2,49,flight2,0.025045882
4930572J05RIK,RIKEN cDNA 4930572J05 gene,3,49,flight3,0.084600035
4930572J05RIK,RIKEN cDNA 4930572J05 gene,4,49,flight4,0.039616205
4932411N23RIK,RIKEN cDNA 4932411N23 gene,1,50,flight1,-0.03149243
4932411N23RIK,RIKEN cDNA 4932411N23 gene,2,50,flight2,-0.072050616
4932411N23RIK,RIKEN cDNA 4932411N23 gene,3,50,flight3,-0.090357112
4932411N23RIK,RIKEN cDNA 4932411N23 gene,4,50,flight4,-0.055220387
4932415M13RIK,RIKEN cDNA 4932415M13 gene,1,51,flight1,-0.130668841
4932415M13RIK,RIKEN cDNA 4932415M13 gene,2,51,flight2,-0.091272184
4932415M13RIK,RIKEN cDNA 4932415M13 gene,3,51,flight3,-0.132413202
4932415M13RIK,RIKEN cDNA 4932415M13 gene,4,51,flight4,-0.151702187
4932441K18RIK,RIKEN cDNA 4932441K18 gene,1,52,flight1,0.017144843
4932441K18RIK,RIKEN cDNA 4932441K18 gene,2,52,flight2,0.00286895
4932441K18RIK,RIKEN cDNA 4932441K18 gene,3,52,flight3,0.028067068
4932441K18RIK,RIKEN cDNA 4932441K18 gene,4,52,flight4,0.021373994
4933407H18RIK,RIKEN cDNA 4933407H18 gene,1,53,flight1,-0.074610103
4933407H18RIK,RIKEN cDNA 4933407H18 gene,2,53,flight2,-0.066357248
4933407H18RIK,RIKEN cDNA 4933407H18 gene,3,53,flight3,-0.024749789
4933407H18RIK,RIKEN cDNA 4933407H18 gene,4,53,flight4,-0.020035689
4933434I20RIK,RIKEN cDNA 4933434I20 gene,1,54,flight1,-0.205095042
4933434I20RIK,RIKEN cDNA 4933434I20 gene,2,54,flight2,-0.075621358
4933434I20RIK,RIKEN cDNA 4933434I20 gene,3,54,flight3,-0.124156835
4933434I20RIK,RIKEN cDNA 4933434I20 gene,4,54,flight4,-0.064450302
4933439F18RIK,RIKEN cDNA 4933439F18 gene,1,55,flight1,0.107625497
4933439F18RIK,RIKEN cDNA 4933439F18 gene,2,55,flight2,0.029188424
4933439F18RIK,RIKEN cDNA 4933439F18 gene,3,55,flight3,0.090170057
4933439F18RIK,RIKEN cDNA 4933439F18 gene,4,55,flight4,0.028696441
5530400C23RIK,RIKEN cDNA 5530400C23 gene,1,56,flight1,-0.15217108
5530400C23RIK,RIKEN cDNA 5530400C23 gene,2,56,flight2,-0.11529845
5530400C23RIK,RIKEN cDNA 5530400C23 gene,3,56,flight3,-0.149163568
5530400C23RIK,RIKEN cDNA 5530400C23 gene,4,56,flight4,-0.072814763
6030408B16RIK,RIKEN cDNA 6030408B16 gene,1,57,flight1,-0.068294958
6030408B16RIK,RIKEN cDNA 6030408B16 gene,2,57,flight2,-0.035137547
6030408B16RIK,RIKEN cDNA 6030408B16 gene,3,57,flight3,-0.067894869
6030408B16RIK,RIKEN cDNA 6030408B16 gene,4,57,flight4,-0.014574419
6030446N20RIK,RIKEN cDNA 6030446N20 gene,1,58,flight1,-0.009815785
6030446N20RIK,RIKEN cDNA 6030446N20 gene,2,58,flight2,-0.017742737
6030446N20RIK,RIKEN cDNA 6030446N20 gene,3,58,flight3,-0.012589583
6030446N20RIK,RIKEN cDNA 6030446N20 gene,4,58,flight4,-0.018934274
6030458C11RIK,RIKEN cDNA 6030458C11 gene,1,59,flight1,0.040085276
6030458C11RIK,RIKEN cDNA 6030458C11 gene,2,59,flight2,0.035521534
6030458C11RIK,RIKEN cDNA 6030458C11 gene,3,59,flight3,0.029325824
6030458C11RIK,RIKEN cDNA 6030458C11 gene,4,59,flight4,0.01064723
6330406I15RIK,RIKEN cDNA 6330406I15 gene,1,60,flight1,0.100389346
6330406I15RIK,RIKEN cDNA 6330406I15 gene,2,60,flight2,0.02523225
6330406I15RIK,RIKEN cDNA 6330406I15 gene,3,60,flight3,0.105252776
6330406I15RIK,RIKEN cDNA 6330406I15 gene,4,60,flight4,0.041841874
7120432I05RIK,RIKEN cDNA 7120432I05 gene,1,61,flight1,0.03146352
7120432I05RIK,RIKEN cDNA 7120432I05 gene,2,61,flight2,0.069642979
7120432I05RIK,RIKEN cDNA 7120432I05 gene,3,61,flight3,0.027176766
7120432I05RIK,RIKEN cDNA 7120432I05 gene,4,61,flight4,0.038688285
7420416P09RIK,RIKEN cDNA 7420416P09 gene,1,62,flight1,-0.104872454
7420416P09RIK,RIKEN cDNA 7420416P09 gene,2,62,flight2,-0.024746005
7420416P09RIK,RIKEN cDNA 7420416P09 gene,3,62,flight3,-0.106662911
7420416P09RIK,RIKEN cDNA 7420416P09 gene,4,62,flight4,-0.049848566
9030425E11RIK,RIKEN cDNA 9030425E11 gene,1,63,flight1,0.153467246
9030425E11RIK,RIKEN cDNA 9030425E11 gene,2,63,flight2,0.082711575
9030425E11RIK,RIKEN cDNA 9030425E11 gene,3,63,flight3,0.124762222
9030425E11RIK,RIKEN cDNA 9030425E11 gene,4,63,flight4,0.110662444
9030625A04RIK,RIKEN cDNA 9030625A04 gene,1,64,flight1,0.059221671
9030625A04RIK,RIKEN cDNA 9030625A04 gene,2,64,flight2,0.024048791
9030625A04RIK,RIKEN cDNA 9030625A04 gene,3,64,flight3,0.076348858
9030625A04RIK,RIKEN cDNA 9030625A04 gene,4,64,flight4,0.03848223
9130017K11RIK,RIKEN cDNA 9130017K11 gene,1,65,flight1,-0.033580429
9130017K11RIK,RIKEN cDNA 9130017K11 gene,2,65,flight2,-0.023565385
9130017K11RIK,RIKEN cDNA 9130017K11 gene,3,65,flight3,-0.059988194
9130017K11RIK,RIKEN cDNA 9130017K11 gene,4,65,flight4,-0.031814125
9330133O14RIK,RIKEN cDNA 9330133O14 gene,1,66,flight1,-0.113450475
9330133O14RIK,RIKEN cDNA 9330133O14 gene,2,66,flight2,-0.031830562
9330133O14RIK,RIKEN cDNA 9330133O14 gene,3,66,flight3,-0.092251987
9330133O14RIK,RIKEN cDNA 9330133O14 gene,4,66,flight4,-0.051806782
9830001H06RIK,RIKEN cDNA 9830001H06 gene,1,67,flight1,0.079275195
9830001H06RIK,RIKEN cDNA 9830001H06 gene,2,67,flight2,0.055592266
9830001H06RIK,RIKEN cDNA 9830001H06 gene,3,67,flight3,0.033068775
9830001H06RIK,RIKEN cDNA 9830001H06 gene,4,67,flight4,0.097756104
9930111J21RIK2 | 9930111J21RIK1 | GM5431,RIKEN cDNA 9930111J21 gene 2 | RIKEN cDNA 9930111J21 gene 1 | predicted gene 5431,1,68,flight1,0.041266584
9930111J21RIK2 | 9930111J21RIK1 | GM5431,RIKEN cDNA 9930111J21 gene 2 | RIKEN cDNA 9930111J21 gene 1 | predicted gene 5431,2,68,flight2,0.008277657
9930111J21RIK2 | 9930111J21RIK1 | GM5431,RIKEN cDNA 9930111J21 gene 2 | RIKEN cDNA 9930111J21 gene 1 | predicted gene 5431,3,68,flight3,0.021281749
9930111J21RIK2 | 9930111J21RIK1 | GM5431,RIKEN cDNA 9930111J21 gene 2 | RIKEN cDNA 9930111J21 gene 1 | predicted gene 5431,4,68,flight4,0.034743043
A530016L24RIK,RIKEN cDNA A530016L24 gene,1,69,flight1,0.113420764
A530016L24RIK,RIKEN cDNA A530016L24 gene,2,69,flight2,0.106292512
A530016L24RIK,RIKEN cDNA A530016L24 gene,3,69,flight3,0.084953346
A530016L24RIK,RIKEN cDNA A530016L24 gene,4,69,flight4,0.108658946
A730013G03RIK,RIKEN cDNA A730013G03 gene,1,70,flight1,-0.052534733
A730013G03RIK,RIKEN cDNA A730013G03 gene,2,70,flight2,-0.026636742
A730013G03RIK,RIKEN cDNA A730013G03 gene,3,70,flight3,-0.044219733
A730013G03RIK,RIKEN cDNA A730013G03 gene,4,70,flight4,-0.019050269
A930013B10RIK,RIKEN cDNA A930013B10 gene,1,71,flight1,0.077452364
A930013B10RIK,RIKEN cDNA A930013B10 gene,2,71,flight2,0.015739225
A930013B10RIK,RIKEN cDNA A930013B10 gene,3,71,flight3,0.063668759
A930013B10RIK,RIKEN cDNA A930013B10 gene,4,71,flight4,0.058809237
AA408296,expressed sequence AA408296,1,72,flight1,0.014229001
AA408296,expressed sequence AA408296,2,72,flight2,0.019679163
AA408296,expressed sequence AA408296,3,72,flight3,0.042750071
AA408296,expressed sequence AA408296,4,72,flight4,0.027423293
AACS,acetoacetyl-CoA synthetase,1,73,flight1,0.124292033
AACS,acetoacetyl-CoA synthetase,2,73,flight2,0.07198942
AACS,acetoacetyl-CoA synthetase,3,73,flight3,0.054587012
AACS,acetoacetyl-CoA synthetase,4,73,flight4,0.069705634
AARS2,"""alanyl-tRNA synthetase 2, mitochondrial (putative)""",1,74,flight1,0.029072247
AARS2,"""alanyl-tRNA synthetase 2, mitochondrial (putative)""",2,74,flight2,0.026158483
AARS2,"""alanyl-tRNA synthetase 2, mitochondrial (putative)""",3,74,flight3,0.050074291
AARS2,"""alanyl-tRNA synthetase 2, mitochondrial (putative)""",4,74,flight4,0.007482872
AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,1,75,flight1,0.107188922
AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,2,75,flight2,0.037092083
AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,3,75,flight3,0.068208542
AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,4,75,flight4,0.043336018
ABCA16,"""ATP-binding cassette, sub-family A (ABC1), member 16""",1,76,flight1,-0.073188394
ABCA16,"""ATP-binding cassette, sub-family A (ABC1), member 16""",2,76,flight2,-0.063197464
ABCA16,"""ATP-binding cassette, sub-family A (ABC1), member 16""",3,76,flight3,-0.148745248
ABCA16,"""ATP-binding cassette, sub-family A (ABC1), member 16""",4,76,flight4,-0.04949095
ABCA7,"""ATP-binding cassette, sub-family A (ABC1), member 7""",1,77,flight1,0.03280115
ABCA7,"""ATP-binding cassette, sub-family A (ABC1), member 7""",2,77,flight2,0.035175988
ABCA7,"""ATP-binding cassette, sub-family A (ABC1), member 7""",3,77,flight3,0.037327543
ABCA7,"""ATP-binding cassette, sub-family A (ABC1), member 7""",4,77,flight4,0.042016067
ABCB5,"""ATP-binding cassette, sub-family B (MDR/TAP), member 5""",1,78,flight1,-0.025959923
ABCB5,"""ATP-binding cassette, sub-family B (MDR/TAP), member 5""",2,78,flight2,-0.046663946
ABCB5,"""ATP-binding cassette, sub-family B (MDR/TAP), member 5""",3,78,flight3,-0.014188324
ABCB5,"""ATP-binding cassette, sub-family B (MDR/TAP), member 5""",4,78,flight4,-0.027319656
ABCE1,"""ATP-binding cassette, sub-family E (OABP), member 1""",1,79,flight1,0.056187142
